PreComp → OpenFAST blade (corrected)
Generated from Python

51	! Number of stations

r	chord	twist	mass	ei_flap	ei_edge	gj	ea	x_cm	y_cm
0.000000	5.242234	0.273922	4.069000e+03	1.528000e+11	1.517000e+11	9.199000e+10	4.776000e+10	0.000000e+00	0.000000e+00
2.474799	5.292256	0.275540	3.752000e+03	1.438000e+11	1.421000e+11	8.601000e+10	4.374000e+10	0.000000e+00	1.000000e-03
4.949599	5.362181	0.274217	3.359000e+03	1.246000e+11	1.276000e+11	7.504000e+10	3.910000e+10	0.000000e+00	7.000000e-02
7.424398	5.458761	0.268047	2.921000e+03	9.612000e+10	1.088000e+11	5.904000e+10	3.397000e+10	2.000000e-03	1.080000e-01
9.899198	5.575232	0.257746	2.488000e+03	6.919000e+10	9.160000e+10	4.305000e+10	2.908000e+10	6.000000e-03	3.480000e-01
12.373997	5.704276	0.244236	2.079000e+03	4.768000e+10	7.746000e+10	2.949000e+10	2.468000e+10	1.400000e-02	5.070000e-01
14.848796	5.838732	0.228445	1.759000e+03	3.126000e+10	6.455000e+10	1.885000e+10	2.069000e+10	2.300000e-02	6.990000e-01
17.323596	5.969202	0.211397	1.453000e+03	2.088000e+10	5.206000e+10	1.170000e+10	1.695000e+10	3.000000e-02	7.280000e-01
19.798395	6.090584	0.194062	1.126000e+03	1.540000e+10	4.134000e+10	7.402000e+09	1.342000e+10	3.300000e-02	8.450000e-01
22.273195	6.193268	0.177356	8.161000e+02	1.129000e+10	2.862000e+10	3.895000e+09	9.884000e+09	3.500000e-02	8.660000e-01
24.747994	6.268871	0.162354	5.048000e+02	7.790000e+09	1.528000e+10	9.436000e+08	6.327000e+09	3.700000e-02	9.630000e-01
27.222793	6.314304	0.149631	4.427000e+02	7.135000e+09	1.528000e+10	6.367000e+08	6.426000e+09	4.000000e-02	1.050000e+00
29.697593	6.309694	0.138406	3.989000e+02	6.536000e+09	1.511000e+10	4.477000e+08	6.520000e+09	4.200000e-02	1.124000e+00
32.172392	6.262704	0.127280	3.534000e+02	5.899000e+09	1.496000e+10	3.017000e+08	6.593000e+09	4.200000e-02	1.196000e+00
34.647192	6.169878	0.116310	3.107000e+02	5.424000e+09	1.339000e+10	1.903000e+08	6.677000e+09	3.700000e-02	1.049000e+00
37.121991	6.054926	0.105724	2.892000e+02	5.166000e+09	1.301000e+10	1.411000e+08	6.767000e+09	3.200000e-02	1.038000e+00
39.596790	5.901530	0.095653	2.846000e+02	4.918000e+09	1.283000e+10	1.304000e+08	6.817000e+09	2.800000e-02	1.078000e+00
42.071590	5.739971	0.086403	2.772000e+02	4.537000e+09	1.174000e+10	1.174000e+08	6.777000e+09	2.700000e-02	1.043000e+00
44.546389	5.580953	0.077795	2.677000e+02	3.956000e+09	1.063000e+10	1.012000e+08	6.716000e+09	2.500000e-02	1.016000e+00
47.021189	5.422491	0.069774	2.585000e+02	3.464000e+09	9.217000e+09	8.676000e+07	6.659000e+09	2.300000e-02	9.290000e-01
49.495988	5.262108	0.062380	2.506000e+02	3.141000e+09	8.289000e+09	7.589000e+07	6.600000e+09	2.200000e-02	8.970000e-01
51.970787	5.132250	0.055562	2.444000e+02	2.929000e+09	7.861000e+09	6.877000e+07	6.546000e+09	2.000000e-02	9.230000e-01
54.445587	4.997751	0.049291	2.382000e+02	2.734000e+09	6.855000e+09	6.256000e+07	6.485000e+09	1.700000e-02	8.380000e-01
56.920386	4.848991	0.043519	2.310000e+02	2.484000e+09	6.127000e+09	5.534000e+07	6.428000e+09	1.700000e-02	8.060000e-01
59.395186	4.707422	0.038149	2.231000e+02	2.181000e+09	5.261000e+09	4.725000e+07	6.349000e+09	1.800000e-02	7.380000e-01
61.869985	4.570735	0.033136	2.158000e+02	1.924000e+09	4.699000e+09	4.046000e+07	6.269000e+09	2.000000e-02	7.130000e-01
64.344784	4.439467	0.028475	2.094000e+02	1.731000e+09	4.212000e+09	3.560000e+07	6.180000e+09	2.100000e-02	6.850000e-01
66.819584	4.313112	0.024132	2.032000e+02	1.561000e+09	3.937000e+09	3.185000e+07	6.083000e+09	2.200000e-02	7.000000e-01
69.294383	4.190767	0.020056	1.970000e+02	1.393000e+09	3.662000e+09	2.823000e+07	5.994000e+09	2.200000e-02	7.170000e-01
71.769183	4.072133	0.016211	1.907000e+02	1.230000e+09	3.133000e+09	2.457000e+07	5.884000e+09	2.500000e-02	6.490000e-01
74.243982	3.957211	0.012543	1.845000e+02	1.102000e+09	2.783000e+09	2.142000e+07	5.761000e+09	2.700000e-02	6.260000e-01
76.718781	3.844829	0.008982	1.789000e+02	9.990000e+08	2.493000e+09	1.900000e+07	5.637000e+09	2.900000e-02	6.040000e-01
79.193581	3.732503	0.005469	1.725000e+02	9.045000e+08	2.145000e+09	1.701000e+07	5.500000e+09	3.100000e-02	5.530000e-01
81.668380	3.617064	0.001888	1.665000e+02	8.121000e+08	1.816000e+09	1.517000e+07	5.348000e+09	3.200000e-02	4.970000e-01
84.143180	3.495862	-0.001875	1.597000e+02	7.199000e+08	1.601000e+09	1.330000e+07	5.181000e+09	3.400000e-02	4.790000e-01
86.617979	3.368512	-0.005837	1.504000e+02	6.293000e+08	1.396000e+09	1.142000e+07	5.002000e+09	3.700000e-02	4.670000e-01
89.092779	3.236713	-0.009949	1.431000e+02	5.450000e+08	1.203000e+09	9.704000e+06	4.808000e+09	3.800000e-02	4.480000e-01
91.567578	3.104356	-0.014135	1.353000e+02	4.696000e+08	1.032000e+09	8.260000e+06	4.597000e+09	3.900000e-02	4.300000e-01
94.042377	2.975151	-0.018220	1.281000e+02	4.058000e+08	8.778000e+08	7.079000e+06	4.370000e+09	3.900000e-02	4.110000e-01
96.517177	2.852435	-0.021929	1.188000e+02	3.522000e+08	7.464000e+08	6.157000e+06	4.123000e+09	3.800000e-02	4.020000e-01
98.991976	2.736099	-0.025099	1.116000e+02	3.050000e+08	6.342000e+08	5.414000e+06	3.862000e+09	3.600000e-02	3.870000e-01
101.466776	2.625392	-0.027604	1.048000e+02	2.624000e+08	5.330000e+08	4.740000e+06	3.588000e+09	3.500000e-02	3.730000e-01
103.941575	2.518345	-0.029317	9.593000e+01	2.232000e+08	4.449000e+08	4.147000e+06	3.288000e+09	3.400000e-02	3.680000e-01
106.416374	2.411216	-0.030086	8.354000e+01	1.866000e+08	3.614000e+08	3.575000e+06	2.965000e+09	3.200000e-02	3.460000e-01
108.891174	2.298449	-0.029965	7.474000e+01	1.518000e+08	2.894000e+08	3.072000e+06	2.625000e+09	3.100000e-02	3.420000e-01
111.365973	2.172283	-0.028365	6.334000e+01	1.184000e+08	2.234000e+08	2.541000e+06	2.265000e+09	2.900000e-02	3.180000e-01
113.840773	2.023930	-0.024649	5.130000e+01	8.651000e+07	1.626000e+08	2.028000e+06	1.879000e+09	2.700000e-02	2.930000e-01
116.315572	1.820984	-0.018824	3.965000e+01	5.546000e+07	1.040000e+08	1.453000e+06	1.471000e+09	2.400000e-02	2.570000e-01
118.790371	1.465737	-0.015886	2.968000e+01	2.518000e+07	4.862000e+07	7.641000e+05	1.032000e+09	2.000000e-02	2.100000e-01
121.265171	0.943254	-0.011168	1.585000e+01	5.475000e+06	1.221000e+07	2.161000e+05	5.632000e+08	1.300000e-02	1.290000e-01
123.739970	0.500000	-0.011168	1.033000e+01	1.073000e+06	3.527000e+06	3.817000e+04	4.933000e+08	7.000000e-03	6.400000e-02
