------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated from MATLAB blade design file ./models/IEA15MW_MOM/moment_blade_design20260605_090823.mat
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID    BlCb    BlCenBn    BlCenBt
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)     (-)     (m)        (m)
  0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.572614741751316e+01   5.243043646021113e+00        1      0.0      0.0      0.0
  2.547646531664651e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.585081240081679e+01   5.295073581051058e+00        2      0.0      0.0      0.0
  5.095293063329303e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.580096695893462e+01   5.367958875665860e+00        3      0.0      0.0      0.0
  7.642939594993955e+00   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.545312826962945e+01   5.468589944971304e+00        4      0.0      0.0      0.0
  1.019058612665861e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.486005357383804e+01   5.589483967108833e+00        5      0.0      0.0      0.0
  1.273823265832325e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.407545108945548e+01   5.722874931427617e+00        6      0.0      0.0      0.0
  1.528587918998790e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.315578063004848e+01   5.861039834786965e+00        7      0.0      0.0      0.0
  1.783352572165256e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.216379464633775e+01   5.994107051181705e+00        8      0.0      0.0      0.0
  2.038117225331721e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.115861399655879e+01   6.116616881265790e+00        9      0.0      0.0      0.0
  2.292881878498186e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.019755496991808e+01   6.217962641529748e+00       10      0.0      0.0      0.0
  2.547646531664652e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   9.345302987473650e+00   6.289747510343739e+00       11      0.0      0.0      0.0
  2.802411184831116e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   8.626352349027140e+00   6.327883464079124e+00       12      0.0      0.0      0.0
  3.057175837997581e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   7.980248782296273e+00   6.316803896766598e+00       13      0.0      0.0      0.0
  3.311940491164047e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   7.325630567544689e+00   6.254183650509114e+00       14      0.0      0.0      0.0
  3.566705144330513e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   6.685104685562840e+00   6.150931783097746e+00       15      0.0      0.0      0.0
  3.821469797496976e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   6.067895943746888e+00   6.027737314759392e+00       16      0.0      0.0      0.0
  4.076234450663443e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   5.438841700846337e+00   5.817353133042635e+00       17      0.0      0.0      0.0
  4.330999103829907e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   4.877319829843219e+00   5.621943733375814e+00       18      0.0      0.0      0.0
  4.585763756996373e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   4.379587589017916e+00   5.494044438896337e+00       19      0.0      0.0      0.0
  4.840528410162838e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   3.938093713157271e+00   5.315784161440743e+00       20      0.0      0.0      0.0
  5.095293063329303e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   3.538129154001141e+00   5.145663415296038e+00       21      0.0      0.0      0.0
  5.350057716495768e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   3.168829850545229e+00   4.980019120492274e+00       22      0.0      0.0      0.0
  5.604822369662232e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   2.828417223981811e+00   4.819130320280053e+00       23      0.0      0.0      0.0
  5.859587022828698e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   2.514856764893060e+00   4.663691741218305e+00       24      0.0      0.0      0.0
  6.114351675995163e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   2.222989484881786e+00   4.513067096557669e+00       25      0.0      0.0      0.0
  6.369116329161630e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.950392008320253e+00   4.367120355884974e+00       26      0.0      0.0      0.0
  6.623880982328095e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.696509734016009e+00   4.226167915286837e+00       27      0.0      0.0      0.0
  6.878645635494559e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.461767533893132e+00   4.090840040190957e+00       28      0.0      0.0      0.0
  7.133410288661022e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.245503048823879e+00   3.961124721237749e+00       29      0.0      0.0      0.0
  7.388174941827489e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   1.043843372374562e+00   3.836342440385439e+00       30      0.0      0.0      0.0
  7.642939594993952e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   8.515099066411738e-01   3.715804602404354e+00       31      0.0      0.0      0.0
  7.897704248160420e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   6.617921685321955e-01   3.595934167323409e+00       32      0.0      0.0      0.0
  8.152468901326884e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   4.738288723538941e-01   3.475601595973940e+00       33      0.0      0.0      0.0
  8.407233554493349e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   2.769611475397022e-01   3.355946100458803e+00       34      0.0      0.0      0.0
  8.661998207659815e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00   6.320726241205410e-02   3.220340877124246e+00       35      0.0      0.0      0.0
  8.916762860826280e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.753597128872197e-01   3.078042913621664e+00       36      0.0      0.0      0.0
  9.171527513992746e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -4.408018502041733e-01   2.931041763054261e+00       37      0.0      0.0      0.0
  9.426292167159211e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -7.096694908100432e-01   2.786753977521350e+00       38      0.0      0.0      0.0
  9.681056820325676e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -9.640615982029459e-01   2.649288363412629e+00       39      0.0      0.0      0.0
  9.935821473492139e+01   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.193677758256834e+00   2.519301134795080e+00       40      0.0      0.0      0.0
  1.019058612665861e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.382592707988176e+00   2.397573076038320e+00       41      0.0      0.0      0.0
  1.044535077982507e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.479247929021761e+00   2.290684319163267e+00       42      0.0      0.0      0.0
  1.070011543299154e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.533040611984544e+00   2.183633344833322e+00       43      0.0      0.0      0.0
  1.095488008615800e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.544350748474189e+00   2.070361653302740e+00       44      0.0      0.0      0.0
  1.120964473932447e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.508377925527293e+00   1.942714401249611e+00       45      0.0      0.0      0.0
  1.146440939249094e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.410644204157409e+00   1.790125817744378e+00       46      0.0      0.0      0.0
  1.171917404565739e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.219380584035989e+00   1.592385622145251e+00       47      0.0      0.0      0.0
  1.197393869882386e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -8.622877289120581e-01   1.321154891485333e+00       48      0.0      0.0      0.0
  1.222870335199033e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.218799269473463e-01   9.169683303272709e-01       49      0.0      0.0      0.0
  1.248346800515679e+02   0.000000000000000e+00   0.000000000000000e+00   0.000000000000000e+00  -1.218799269473463e-01   4.999999999999998e-01       50      0.0      0.0      0.0
